Density,Abdomen,Chest,Weight,Hip
1.0708,85.2,93.1,154.25,94.5
1.0853,83.0,93.6,173.25,98.7
1.0414,87.9,95.8,154.0,99.2
1.0751,86.4,101.8,184.75,101.2
1.034,100.0,97.3,184.25,101.9
1.0502,94.4,104.5,210.25,107.8
1.0549,90.7,105.1,181.0,100.3
1.0704,88.5,99.6,176.0,97.1
1.09,82.5,100.9,191.0,99.9
1.0722,88.6,99.6,198.25,104.1
1.083,83.6,101.5,186.25,98.2
1.0812,90.9,103.6,216.0,107.7
1.0513,91.6,102.0,180.5,103.9
1.0505,101.8,104.1,205.25,108.6
1.0484,96.4,101.3,187.75,100.1
1.0512,92.8,99.1,162.75,99.2
1.0333,96.4,101.9,195.75,105.2
1.0468,97.5,107.6,209.25,107.0
1.0622,89.6,106.8,183.75,102.4
1.061,100.5,106.2,211.75,109.0
1.0551,95.9,103.3,179.0,104.9
1.064,98.8,111.4,200.5,104.8
1.0631,76.4,86.0,140.25,94.6
1.0584,80.0,86.7,148.75,93.4
1.0668,76.3,90.2,151.25,95.8
1.0911,79.7,89.6,159.25,96.5
1.0811,74.6,88.6,131.5,85.3
1.0468,88.7,97.4,148.0,94.7
1.091,73.9,93.5,133.25,88.5
1.079,83.5,97.4,160.75,98.7
1.0716,88.7,100.5,182.0,99.8
1.0862,84.5,93.5,160.25,100.6
1.0719,79.1,93.0,168.0,94.5
1.0502,100.5,111.7,218.5,108.3
1.0263,115.6,117.0,247.25,116.1
1.0101,113.1,118.5,191.75,113.8
1.0438,100.9,106.5,202.25,106.2
1.0346,98.8,105.6,196.75,104.8
1.0202,148.1,136.2,363.15,147.7
1.0258,108.1,114.8,203.0,102.5
1.0217,126.2,128.3,262.75,125.6
1.025,104.3,106.0,205.0,115.5
1.0279,111.2,113.3,217.0,114.1
1.0269,104.3,106.6,212.0,106.0
1.0814,76.0,85.1,125.25,88.2
1.067,81.5,96.6,164.25,97.2
1.0742,73.7,88.2,133.5,88.5
1.0665,79.5,89.8,148.5,92.7
1.0678,83.4,92.3,135.75,90.4
1.0903,70.4,83.4,127.5,87.2
1.0756,86.7,90.2,158.25,98.3
